"chromosome","start","end","width","strand","metadata_name","metadata_score","OriginalOrder","ClusterID","SortingOrder","FinalOrder"
"chrIII",6969971,6971997,2027,"-","WBGene00001168",158.557,1,1,1,1
"chrIII",6969971,6971991,2021,"-","WBGene00001168",158.557,2,1,2,2
"chrIII",6969971,6971973,2003,"-","WBGene00001168",158.557,3,1,3,3
"chrIII",6969971,6971948,1978,"-","WBGene00001168",158.557,4,1,4,4
"chrIII",6969971,6971992,2022,"-","WBGene00001168",158.557,5,1,5,5
"chrII",11125310,11126489,1180,"-","WBGene00004478",145.688,8,1,8,6
"chrII",11125310,11126480,1171,"-","WBGene00004478",145.688,9,1,9,7
"chrII",11125310,11126306,997,"-","WBGene00004478",145.688,10,1,10,8
"chrII",11125310,11126473,1164,"-","WBGene00004478",145.688,11,1,11,9
"chrI",10567720,10569008,1289,"+","WBGene00004408",139.519,12,1,12,10
"chrI",10567721,10569008,1288,"+","WBGene00004408",139.519,13,1,13,11
"chrIII",3867628,3869527,1900,"+","WBGene00004414",126.113,17,1,17,12
"chrIII",3867629,3869527,1899,"+","WBGene00004414",126.113,18,1,18,13
"chrIII",3867833,3869527,1695,"+","WBGene00004414",126.113,19,1,19,14
"chrII",8143484,8144621,1138,"+","WBGene00004421",121.189,24,1,24,15
"chrII",8143479,8144621,1143,"+","WBGene00004421",121.189,25,1,25,16
"chrII",8143806,8144621,816,"+","WBGene00004421",121.189,26,1,26,17
"chrII",8143471,8144621,1151,"+","WBGene00004421",121.189,27,1,27,18
"chrIII",13463062,13464556,1495,"+","WBGene00006439",118.072,28,1,28,19
"chrIII",13463062,13464556,1495,"+","WBGene00006439",118.072,29,1,29,20
"chrIII",6206449,6208265,1817,"+","WBGene00004472",117.053,30,1,30,21
"chrIII",4752864,4754281,1418,"-","WBGene00004469",114.263,31,1,31,22
"chrIII",4752864,4754282,1419,"-","WBGene00004469",114.263,32,1,32,23
"chrII",11096513,11097434,922,"-","WBGene00004454",112.811,33,1,33,24
"chrII",11096513,11097427,915,"-","WBGene00004454",112.811,34,1,34,25
"chrIII",4475699,4476856,1158,"+","WBGene00004470",108.783,35,1,35,26
"chrIII",4475700,4476856,1157,"+","WBGene00004470",108.783,36,1,36,27
"chrIII",4475887,4476856,970,"+","WBGene00004470",108.783,37,1,37,28
"chrIII",12977809,12978859,1051,"-","WBGene00006728",98.2605,40,1,40,29
"chrIII",12977809,12978434,626,"-","WBGene00006728",98.2605,41,1,41,30
"chrIII",12977809,12978853,1045,"-","WBGene00006728",98.2605,42,1,42,31
"chrIII",7572038,7572968,931,"-","WBGene00004420",94.4006,52,1,52,32
"chrIII",7572038,7572937,900,"-","WBGene00004420",94.4006,53,1,53,33
"chrIII",7572038,7572938,901,"-","WBGene00004420",94.4006,54,1,54,34
"chrII",5055453,5056206,754,"+","WBGene00004434",91.897,58,1,58,35
"chrII",5055454,5056206,753,"+","WBGene00004434",91.897,59,1,59,36
"chrII",5055608,5056206,599,"+","WBGene00004434",91.897,60,1,60,37
"chrIII",7178631,7179710,1080,"-","WBGene00004483",89.3898,61,1,61,38
"chrIII",7179847,7180615,769,"+","WBGene00004450",88.5461,64,1,64,39
"chrIII",7179848,7180615,768,"+","WBGene00004450",88.5461,65,1,65,40
"chrI",4584938,4586184,1247,"+","WBGene00004436",87.0134,70,1,70,41
"chrI",4584945,4586184,1240,"+","WBGene00004436",87.0134,71,1,71,42
"chrI",4584913,4586184,1272,"+","WBGene00004436",87.0134,72,1,72,43
"chrI",4584961,4586184,1224,"+","WBGene00004436",87.0134,73,1,73,44
"chrI",1834885,1835441,557,"+","WBGene00004441",86.2107,74,1,74,45
"chrI",1156252,1157465,1214,"+","WBGene00004429",84.072,76,1,76,46
"chrI",1156580,1157465,886,"+","WBGene00004429",84.072,77,1,77,47
"chrI",13951918,13953182,1265,"+","WBGene00004475",84.0441,78,1,78,48
"chrI",13951919,13953182,1264,"+","WBGene00004475",84.0441,79,1,79,49
"chrI",9625048,9626037,990,"-","WBGene00004488",83.686,80,1,80,50
"chrI",9625048,9625998,951,"-","WBGene00004488",83.686,81,1,81,51
"chrI",9625048,9626038,991,"-","WBGene00004488",83.686,82,1,82,52
"chrIII",8129484,8130427,944,"-","WBGene00004433",81.8408,85,1,85,53
"chrIII",8129484,8130400,917,"-","WBGene00004433",81.8408,86,1,86,54
"chrIII",8129484,8130415,932,"-","WBGene00004433",81.8408,87,1,87,55
"chrIV",385672,386606,935,"+","WBGene00004493",81.4604,88,1,88,56
"chrIV",385673,386606,934,"+","WBGene00004493",81.4604,89,1,89,57
"chrIV",385674,386606,933,"+","WBGene00004493",81.4604,90,1,90,58
"chrIV",385894,386606,713,"+","WBGene00004493",81.4604,91,1,91,59
"chrI",2069682,2070829,1148,"-","WBGene00021350",80.792,92,1,92,60
"chrI",2069682,2070610,929,"-","WBGene00021350",80.792,93,1,93,61
"chrI",2069682,2070830,1149,"-","WBGene00021350",80.792,94,1,94,62
"chrIV",4749004,4750010,1007,"-","WBGene00004432",79.5086,98,1,98,63
"chrIV",4749004,4749982,979,"-","WBGene00004432",79.5086,99,1,99,64
"chrIV",4749004,4749770,767,"-","WBGene00004432",79.5086,100,1,100,65
"chrIV",4749004,4750011,1008,"-","WBGene00004432",79.5086,101,1,101,66
"chrI",2875397,2876467,1071,"-","WBGene00004412",78.0352,102,1,102,67
"chrI",2875397,2876326,930,"-","WBGene00004412",78.0352,103,1,103,68
"chrI",2875397,2876468,1072,"-","WBGene00004412",78.0352,104,1,104,69
"chrI",10435902,10436875,974,"+","WBGene00004444",76.3667,105,1,105,70
"chrI",10435903,10436875,973,"+","WBGene00004444",76.3667,106,1,106,71
"chrIV",13239564,13240627,1064,"-","WBGene00004424",76.15,107,1,107,72
"chrIV",13239564,13240627,1064,"-","WBGene00004424",76.15,108,1,108,73
"chrII",8602522,8603530,1009,"+","WBGene00004440",73.313,117,1,117,74
"chrII",8602538,8603530,993,"+","WBGene00004440",73.313,118,1,118,75
"chrII",8602549,8603530,982,"+","WBGene00004440",73.313,119,1,119,76
"chrI",4645637,4647212,1576,"-","WBGene00004415",71.1258,124,1,124,77
